,Pendidikan,,,,,,,,,,,,,Pendidikan Dasar dan Anak Usia Dini,,,,,,,,,,,,,Pendidikan Menengah,,,,,,,,,,,,,Pendidikan Tinggi,,,,,,,,,,,,,Pendidikan Lainnya,,,,,,,,,,,,,2024
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,2024
KAB MAJALENGKA,0.81,0.81,0.81,0.81,0.81,0.25,0.25,1.24,1.34,1.34,1.34,1.34,-,4.7,4.7,4.7,4.7,4.7,1.4,1.4,4.78,4.78,4.78,4.78,4.78,-,0.0,0,0,0,0,0,0,0.88,0.88,0.88,0.88,0.88,-,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2024.0
KAB SUBANG,0.82,0.82,0.82,0.82,0.82,0.67,0.61,0.61,0.67,0.67,0.67,0.06,-,1.13,1.13,1.13,1.13,1.13,0.22,0,0,0,0,0,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0.14,0.14,0.14,0.14,-,3.91,3.91,3.91,3.91,3.91,3.91,3.7,3.7,3.7,3.7,3.7,0,-,2024.0
KOTA BOGOR,0.84,0.84,0.84,0.82,0.82,0.82,2.67,4.38,4.59,4.59,4.59,4.59,-,0.77,0.77,0.77,0.77,0.77,0.77,1.52,1.52,1.52,1.52,1.52,1.52,-,1.72,1.72,1.72,1.72,1.72,1.72,6.21,6.21,6.21,6.21,6.21,6.21,-,0,0,0,0,0,0,0,4.33,4.33,4.33,4.33,4.33,-,0.18,0.18,0.18,0,0,0,0,4.59,6.85,6.85,6.85,6.85,-,2024.0
KOTA SUKABUMI,0.09,0.09,0.09,0.09,0.09,0.09,0.33,0.54,0.43,4.41,4.41,4.41,-,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,0.3,1.39,1.39,1.39,1.39,1.39,-,0.9,0.9,0.9,0.9,0.9,0.9,0,0.59,0.59,0.59,0.59,0.59,-,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0,0,9.11,9.11,9.11,-,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0,0,0,0,-,2024.0
KOTA BANDUNG,0.42,0.42,0.43,0.43,0.43,0.37,0.78,0.93,0.93,0.93,0.93,0.93,-,0.13,0.13,0.13,0.13,0.13,0.13,1.58,1.58,1.58,1.58,1.58,1.58,-,0.69,0.69,0.69,0.69,0.69,0.69,1.56,1.56,1.56,1.56,1.56,1.56,-,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.64,0.64,0.64,0.64,0.64,-,0.93,0.93,1.07,1.07,1.12,0.19,0.29,0.29,0.29,0.29,0.29,0.29,-,2024.0
KOTA CIREBON,1.42,1.42,1.42,1.42,1.42,1.42,0,0.76,1.71,1.71,1.71,1.71,-,4.04,4.04,4.04,4.04,4.04,4.04,0,0.79,0.79,0.79,0.79,0.79,-,1.55,1.55,1.55,1.55,1.55,1.55,0,0.23,0.23,0.23,0.23,0.23,-,0,0,0,0,0,0,0,0,2.91,2.91,2.91,2.91,-,0,0,0,0,0,0,0,3.43,3.43,3.43,3.43,3.43,-,2024.0
KOTA BEKASI,2.27,2.27,2.27,2.27,2.27,2.27,2.15,2.96,2.96,2.96,2.96,2.96,-,2.36,2.36,2.36,2.36,2.36,2.36,2.39,2.39,2.39,2.39,2.39,2.39,-,3.79,3.79,3.79,3.79,3.79,3.79,4.36,4.36,4.36,4.36,4.36,4.36,-,1.03,1.03,1.03,1.03,1.03,1.03,1.03,3.02,3.02,3.02,3.02,3.02,-,2.99,2.99,2.99,2.99,2.96,2.96,0.01,0.01,0.01,0.01,0.01,0.01,-,2024.0
KOTA DEPOK,2.18,2.18,2.18,2.18,2.18,2.18,1.21,1.43,1.67,1.67,1.67,1.67,-,1.84,1.84,1.84,1.84,1.84,1.84,0,2.62,2.62,2.62,2.62,2.62,-,2.25,2.25,2.25,2.25,2.25,2.25,0,0.38,0.38,0.38,0.38,0.38,-,2.03,2.03,2.03,2.03,2.03,2.03,2.03,0,0.88,0.88,0.88,0.88,-,3.36,3.36,3.36,3.36,3.36,3.36,6.89,6.09,6.09,6.09,6.09,6.09,-,2024.0
KOTA TASIKMALAYA,2.63,2.63,2.63,2.63,2.63,2.63,2.28,2.08,2.48,2.48,2.48,2.48,-,2.69,2.69,2.69,2.69,2.69,2.69,3.18,3.18,3.24,3.24,3.24,3.24,-,2.3,2.3,2.3,2.3,2.3,2.3,0.57,0.57,0.57,0.57,0.57,0.57,-,1.09,1.09,1.09,1.09,1.09,1.09,1.09,0,0.51,0.51,0.51,0.51,-,6.95,6.95,6.95,6.95,6.95,6.95,6.84,7.93,9.06,9.06,9.06,9.06,-,2024.0
CILACAP,1.74,1.74,1.74,1.74,1.74,1.74,1.45,2.65,1.78,1.78,1.78,1.78,-,3.6,3.6,3.6,3.6,3.6,3.6,2.48,5.34,4.05,4.05,4.05,4.05,-,0.16,0.16,0.16,0.16,0.16,0.16,0.16,1.38,1.22,1.22,1.22,1.22,-,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.66,0.05,0.05,0.05,0.05,-,4.91,4.91,4.91,4.91,4.91,4.91,4.52,4.52,4.52,4.52,4.52,4.52,-,2024.0
PURWOKERTO,0.86,0.8,0.8,0.8,0.8,0.8,0.72,0.57,1.05,1.05,1.05,1.23,-,1.72,1.72,1.72,1.72,1.72,1.72,1.33,0.79,0.79,0.79,0.79,0.79,-,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.65,0.65,0.65,0.65,0.65,-,0,0,0,0,0,0,0,0,1.98,1.98,1.98,1.98,-,3.17,2.69,2.69,2.69,2.69,2.69,2.81,1.56,0.16,0.16,0.16,1.52,-,2024.0
KAB WONOSOBO,0.74,0.74,0.74,0.74,0.76,0.02,0.04,0.04,1.31,1.31,1.31,1.31,-,3.21,3.21,3.21,3.21,3.21,0,0,0,1.15,1.15,1.15,1.15,-,0.0,0,0,0,0,0,0,0,3.25,3.25,3.25,3.25,-,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0.08,0.08,0.18,0.18,0.18,0.18,0.18,0.18,-,2024.0
KAB WONOGIRI,0.0,0,0,0,0,0,0.24,1.09,2.32,2.32,2.32,2.32,-,0.0,0,0,0,0,0,0,2.1,2.1,2.1,2.1,2.1,-,0.0,0,0,0,0,0,0,1.04,1.04,1.04,1.04,1.04,-,0,0,0,0,0,0,0,0,3.52,3.52,3.52,3.52,-,0,0,0,0,0,0,4.53,4.53,4.53,4.53,4.53,4.53,-,2024.0
KAB REMBANG,0.0,0.04,0.04,0.04,0.04,0.04,1.09,1.09,1.09,2.69,2.69,2.69,-,0.0,0,0,0,0,0,5.02,5.02,5.02,5.02,5.02,5.02,-,0.0,0,0,0,0,0,0.03,0.03,0.03,0.03,0.03,0.03,-,0,0,0,0,0,0,0,0,0,3.91,3.91,3.91,-,0,0.66,0.66,0.66,0.66,0.66,0.97,0.97,0.97,0.97,0.97,0.97,-,2024.0
KUDUS,4.98,4.98,4.98,4.98,4.98,4.98,4.66,5.14,5.48,2.93,2.93,2.93,-,3.13,3.13,3.13,3.13,3.13,3.13,2.57,5.73,7.34,7.34,7.34,7.34,-,4.39,4.39,4.39,4.39,4.39,4.39,3.84,2.47,0.31,0.31,0.31,0.31,-,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,9.65,1.31,1.31,1.31,-,2.28,2.28,2.28,2.28,2.28,2.28,2.28,2.94,4.43,4.43,4.43,4.43,-,2024.0
KOTA SURAKARTA,1.66,1.66,1.66,1.66,1.66,1.66,1.63,1.67,3.29,3.26,3.26,3.26,-,3.07,3.07,3.07,3.07,3.07,3.07,4.86,3.72,3.72,3.72,3.72,3.72,-,2.65,2.65,2.65,2.65,2.65,2.65,0.65,1.94,1.94,1.94,1.94,1.94,-,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,4.87,4.79,4.79,4.79,-,0,0,0,0,0,0,0,0,0,0,0,0,-,2024.0
KOTA SEMARANG,2.05,2.05,2.05,2.05,2.05,2.05,1.01,0.93,0.83,0.83,0.83,0.83,-,4.68,4.68,4.68,4.68,4.68,4.68,2.48,0.57,0.57,0.57,0.57,0.57,-,1.47,1.47,1.47,1.47,1.47,1.47,0.74,0.74,0.74,0.74,0.74,0.74,-,0.33,0.33,0.33,0.33,0.33,0.33,0.33,1.73,1.4,1.4,1.4,1.4,-,2.15,2.15,2.15,2.15,2.15,2.15,0,0,0,0,0,0,-,2024.0
KOTA TEGAL,3.44,3.33,4.46,4.46,4.46,4.46,4.85,3.55,5.46,5.46,5.46,5.46,-,5.48,5.48,5.48,5.48,5.48,5.48,3.18,3.12,3.57,3.57,3.57,3.57,-,1.43,1.43,1.43,1.43,1.43,1.43,3.96,4.25,4.25,4.25,4.25,4.25,-,5.21,5.21,8.88,8.88,8.88,8.88,8.88,4.26,10.04,10.04,10.04,10.04,-,0.77,0,0,0,0,0,0.95,0.95,0.95,0.95,0.95,0.95,-,2024.0
KAB GUNUNGKIDUL,0.07,0.07,0.07,0.07,0.07,0.07,1.02,1.02,1.02,0.95,0.95,0.95,-,0.0,0,0,0,0,0,1.42,1.42,1.42,1.42,1.42,1.42,-,0.0,0,0,0,0,0,2.32,2.32,2.32,2.32,2.32,2.32,-,0,0,0,0,0,0,0,0,0,0,0,0,-,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0,0,0,-,2024.0
KOTA YOGYAKARTA,2.99,2.99,2.99,2.99,2.99,2.99,4.01,2.83,2.83,1.24,1.27,1.27,-,2.89,2.89,2.89,2.89,2.89,2.89,5.62,3.2,3.2,3.2,3.33,3.33,-,2.55,2.55,2.55,2.55,2.55,2.55,3.95,1.36,1.36,1.36,1.36,1.36,-,3.55,3.55,3.55,3.55,3.55,3.55,3.55,3.55,3.55,0.18,0.18,0.18,-,1.46,1.46,1.46,1.46,1.46,1.41,1.86,1.86,1.86,0.74,0.74,0.74,-,2024.0
KAB TULUNGAGUNG,0.0,0,0,0,0,0,0.75,0.87,0.87,0.87,0.87,0.87,-,0.0,0,0,0,0,0,2.16,2.16,2.16,2.16,2.16,2.16,-,0.0,0,0,0,0,0,0.65,0.65,0.65,0.65,0.65,0.65,-,0,0,0,0,0,0,0,0.39,0.39,0.39,0.39,0.39,-,0,0,0,0,0,0,0.58,0.58,0.58,0.58,0.58,0.58,-,2024.0
JEMBER,0.34,0.34,0.31,0.67,0.67,0.67,0.8,0.8,0.85,0.85,0.85,0.85,-,0.0,0,0,0,0,0,0.29,0.29,0.29,0.29,0.29,0.29,-,0.0,0,0,0,0,0,1.87,1.87,1.87,1.87,1.87,1.87,-,0,0,0,0,0,0,0,0,0,0,0,0,-,4.95,4.82,4.35,9.46,9.46,9.46,4.89,4.89,5.48,5.48,5.48,5.48,-,2024.0
BANYUWANGI,2.11,2.11,2.11,2.11,2.11,2.11,3.3,2.91,2.91,2.91,2.91,2.91,-,1.91,1.91,1.91,1.91,1.91,1.91,3.75,1.8,1.8,1.8,1.8,1.8,-,2.84,2.84,2.84,2.84,2.84,2.84,5.29,2.38,2.38,2.38,2.38,2.38,-,2.32,2.32,2.32,2.32,2.32,2.32,2.32,5.22,5.22,5.22,5.22,5.22,-,0,0,0,0,0,0,0,0,0,0,0,0,-,2024.0
KAB BOJONEGORO,0.0,0.61,0.61,0.61,0.77,0.77,1.69,2.37,2.37,2.37,2.37,2.37,-,0.0,0,0,0,0,0,1.82,5.34,5.34,5.34,5.34,5.34,-,0.0,0,0,0,0,0,1.14,1.14,1.14,1.14,1.14,1.14,-,0,0,0,0,0,0,0,0,0,0,0,0,-,0,4.21,4.21,4.21,5.29,5.29,7.65,8.28,8.28,8.28,8.28,8.28,-,2024.0
KAB GRESIK,0.15,0.25,0.25,0.31,0.31,0.31,2.07,2.65,2.65,2.65,2.65,2.65,-,0.0,0,0,0,0,0,4.69,4.69,4.69,4.69,4.69,4.69,-,0.0,0,0,0,0,0,0.89,0.89,0.89,0.89,0.89,0.89,-,0,0,0,0,0,0,0,2.37,2.37,2.37,2.37,2.37,-,1.13,1.81,1.81,2.24,2.24,2.24,3.03,3.03,3.03,3.03,3.03,3.03,-,2024.0
SUMENEP,2.24,2.24,2.24,2.24,2.24,2.24,2.85,2.75,2.75,1.7,1.7,1.7,-,4.7,4.7,4.7,4.7,4.7,4.7,6.49,9.83,9.83,5.38,5.38,5.38,-,0.03,0.03,0.03,0.03,0.03,0.03,1.62,1.59,1.59,1.59,1.59,1.59,-,2.55,2.55,2.55,2.55,2.55,2.55,2.55,0,0,0,0,0,-,0.69,0.69,0.69,0.69,0.69,0.69,0,0.27,0.27,0.27,0.27,0.27,-,2024.0
KOTA KEDIRI,0.74,0.74,0.74,0.74,0.74,0.74,1.08,0.56,1.98,1.98,1.98,1.98,-,-0.79,-0.79,-0.79,-0.79,-0.79,-0.79,0.09,1.18,1.18,1.19,1.19,1.19,-,2.68,2.68,2.68,2.68,2.68,2.68,3.64,0.93,0.93,0.93,0.93,0.93,-,0,0,0,0,0,0,0,0,3.7,3.7,3.7,3.7,-,1.16,1.16,1.16,1.16,1.14,1.14,0.46,0.46,0.46,0.46,0.46,0.46,-,2024.0
KOTA MALANG,1.44,1.44,1.44,1.44,1.44,1.44,1.23,1.21,1.21,1.21,1.21,1.21,-,2.24,2.24,2.24,2.24,2.24,2.24,1.98,1.98,1.98,1.98,1.98,1.98,-,1.19,1.19,1.19,1.19,1.19,1.19,0.55,0.55,0.55,0.55,0.55,0.55,-,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.33,1.33,1.33,1.33,1.33,-,0.2,0.2,0.2,0.2,0.2,0.2,0.04,0.04,0.04,0.04,0.04,0.04,-,2024.0
KOTA PROBOLINGGO,1.17,1.14,1.14,1.14,1.14,1.14,0.88,0.88,2.77,2.71,2.71,2.71,-,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,-,1.4,1.4,1.4,1.4,1.4,1.4,0.21,0.21,0.21,0.21,0.21,0.21,-,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,4.71,4.52,4.52,4.52,-,0.18,0,0,0,0,0,0,0,0,0.09,0.09,0.09,-,2024.0
KOTA MADIUN,1.47,1.47,1.45,1.48,1.48,1.57,1.33,1.33,1.66,1.32,1.32,1.32,-,1.7,1.7,1.7,1.7,1.7,2,1.1,1.1,1.1,1.1,1.1,1.1,-,0.21,0.21,0.21,0.21,0.21,0.21,0.46,0.46,0.46,0.46,0.46,0.46,-,0,0,0,0,0,0,0,0,0,0,0,0,-,4.22,4.22,4.14,4.3,4.3,4.3,4.3,4.3,5.84,4.18,4.18,4.18,-,2024.0
KOTA SURABAYA,1.76,1.76,1.74,1.74,1.74,1.74,2.27,1.34,1.3,1.3,1.3,1.3,-,1.84,1.84,1.84,1.84,1.84,1.84,2.98,3.12,3.12,3.12,3.12,3.12,-,1.09,1.09,1.09,1.09,1.09,1.09,1.77,1.77,1.77,1.77,1.77,1.77,-,3.11,3.11,3.11,3.11,3.11,3.11,3.11,0.08,0.08,0.08,0.08,0.08,-,0.35,0.35,0.26,0.26,0.26,0.26,0.68,0.68,0.42,0.42,0.42,0.42,-,2024.0
KAB PANDEGLANG,0.17,0.17,0.17,0.17,0.17,0.17,1.51,1.44,1.44,1.44,1.44,1.34,-,0.58,0.58,0.58,0.58,0.58,0.58,4.85,4.61,4.61,4.61,4.61,4.24,-,0.0,0,0,0,0,0,0.25,0.25,0.25,0.25,0.25,0.25,-,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2024.0
KAB LEBAK,0.0,0,0,0,0,0,0.32,0.32,2.67,2.67,2.67,2.67,-,0.0,0,0,0,0,0,0.5,0.5,6.5,6.5,6.5,6.5,-,0.0,0,0,0,0,0,0.95,0.95,1.38,1.38,1.38,1.38,-,0,0,0,0,0,0,0,0,2.67,2.67,2.67,2.67,-,0,0,0,0,0,0,0,0,0,0,0,0,-,2024.0
KOTA TANGERANG,0.11,0.11,0.7,0.7,0.7,0.7,0.78,1.61,1.61,1.72,1.61,1.61,-,0.0,0,0,0,0,0,0,0.21,0.21,0.64,0.64,0.64,-,0.0,0,0,0,0,0,0,2.85,2.85,2.85,2.85,2.85,-,0,0,0,0,0,0,0,0,0,0,0,0,-,0.82,0.82,5.22,5.22,5.22,5.22,5.83,5.83,5.83,5.83,4.96,4.96,-,2024.0
KOTA CILEGON,0.89,0.71,0.71,0.71,0.71,0.71,1.75,1.75,1.75,1.75,1.75,1.75,-,0.71,0.71,0.71,0.71,0.71,0.71,5.41,5.41,5.41,5.41,5.41,5.41,-,0.0,0,0,0,0,0,0.87,0.87,0.87,0.87,0.87,0.87,-,0,0,0,0,0,0,0,0,0,0,0,0,-,4.31,3.19,3.19,3.19,3.19,3.19,2.08,2.08,2.08,2.08,2.08,2.08,-,2024.0
KOTA SERANG,1.76,1.76,1.79,1.79,1.59,1.15,0.82,0.34,0.67,0.67,0.67,0.67,-,2.74,2.74,2.85,2.85,2.85,2.85,2.81,1,1,1,1,1,-,0.0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,-,8.68,8.68,8.68,8.68,6.87,3.11,0.54,0.54,3.17,3.17,3.17,3.17,-,2024.0
KAB TABANAN,0.59,0.59,0.59,0.59,0.59,0.59,1.13,2.25,2.25,2.25,2.25,2.25,-,3.4,3.4,3.4,3.4,3.4,3.4,5.08,8.41,8.41,8.41,8.41,8.41,-,0.0,0,0,0,0,0,0.13,1.85,1.85,1.85,1.85,1.85,-,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,2.2,2.2,2.2,2.2,2.2,2.2,-,2024.0
KAB BADUNG,0.8,0.8,0.8,0.8,0.8,0.8,2.34,2.49,2.49,2.01,2.01,2.01,-,3.27,3.27,3.27,3.27,3.27,3.27,9.57,8.12,8.12,6.1,6.1,6.1,-,0.0,0,0,0,0,0,0.04,1.66,1.66,1.66,1.66,1.66,-,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0.27,0.27,0.27,0.27,0.27,-,2024.0
SINGARAJA,-0.18,-0.18,-0.18,-0.18,-0.18,-0.18,0.15,1.3,1.3,1.42,1.42,1.42,-,-1.65,-1.65,-1.65,-1.65,-1.65,-1.65,0.25,3.36,3.36,3.36,3.36,3.36,-,0.0,0,0,0,0,0,0.48,0.48,0.48,0.48,0.48,0.48,-,0,0,0,0,0,0,0,0,0,0.22,0.22,0.22,-,0.82,0.82,0.82,0.82,0.82,0.82,0,7.91,7.91,7.91,7.91,7.91,-,2024.0
KOTA DENPASAR,5.95,5.95,6.12,6.12,6.12,6.12,3.2,4.02,4.03,4.03,4.03,4.03,-,3.36,3.36,3.86,3.86,3.86,3.86,1.77,4.45,4.45,4.45,4.45,4.45,-,4.55,4.55,4.55,4.55,4.55,4.55,0,4.4,4.4,4.4,4.4,4.4,-,8.46,8.46,8.46,8.46,8.46,8.46,8.46,4.94,4.94,4.94,4.94,4.94,-,7.7,7.7,7.94,7.94,7.94,7.94,0.22,0.22,0.25,0.25,0.25,0.25,-,2024.0
KAB SUMBAWA,0.0,0,0,0,0,0,0.75,0.75,0.75,0.75,0.75,0.75,-,0.0,0,0,0,0,0,0.57,0.57,0.57,0.57,0.57,0.57,-,0.0,0,0,0,0,0,1.71,1.71,1.71,1.71,1.71,1.71,-,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,-,2024.0
KOTA MATARAM,1.78,1.78,1.78,1.78,1.5,1.9,1.37,1.38,1.57,1.57,1.57,1.57,-,0.5,0.5,0.5,0.5,0.5,0.5,0.39,0.1,1.12,1.12,1.12,1.12,-,8.28,8.28,8.28,8.28,8.28,8.28,0.14,0.05,0.05,0.05,0.05,0.05,-,0,0,0,0,0,0,0.62,0.62,0.62,0.62,0.62,0.62,-,2.77,2.77,2.77,2.77,0,3.98,9.52,10.35,10.35,10.35,10.35,10.35,-,2024.0
KOTA BIMA,0.65,0.65,0.65,0.65,0.65,0.65,0,0.01,21.97,21.97,21.97,21.97,-,0.12,0.12,0.12,0.12,0.12,0.12,0,0.05,0.05,0.05,0.05,0.05,-,2.65,2.65,2.65,2.65,2.65,2.65,0,0,0.37,0.37,0.37,0.37,-,0,0,0,0,0,0,0,0,44.11,44.11,44.11,44.11,-,0,0,0,0,0,0,0,0,0,0,0,0,-,2024.0
WAINGAPU,0.0,0,0,0,0,0,2.91,2.91,2.91,2.91,2.91,2.91,-,0.0,0,0,0,0,0,0.13,0.13,0.13,0.13,0.13,0.13,-,0.0,0,0,0,0,0,6.95,6.95,6.95,6.95,6.95,6.95,-,0,0,0,0,0,0,1.55,1.55,1.55,1.55,1.55,1.55,-,0,0,0,0,0,0,0,0,0,0,0,0,-,2024.0
KAB TIMOR TENGAH SELATAN,0.0,0,0,0,0,0,2.91,2.91,2.91,2.91,2.91,2.91,-,0.0,0,0,0,0,0,18.68,18.68,18.68,18.68,18.68,18.68,-,0.0,0,0,0,0,0,3.3,3.3,3.3,3.3,3.3,3.3,-,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2024.0
MAUMERE,1.19,1.19,1.19,1.15,1.15,1.15,1.2,0.06,4.56,4.56,4.56,4.56,-,0.2,0.2,0.2,0,0,0,0.2,0.2,2.09,2.09,2.09,2.09,-,3.01,3.01,3.01,3.01,3.01,3.01,3.01,0,10.73,10.73,10.73,10.73,-,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2024.0
KAB NGADA,0.52,0.52,0.24,0.24,0.24,0.24,0.55,0.55,0.55,0.55,0.31,0.31,-,2.66,2.66,1.22,1.22,1.22,1.22,2.83,2.83,2.83,2.83,1.59,1.59,-,0.0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2024.0
KOTA KUPANG,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0,0,0,0,0,-,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0,0,0,0,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,-,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,-,2024.0
KAB KETAPANG,0.29,0.29,0.29,0.29,0.29,0.29,0.52,0.66,0.66,0.37,0.37,0.37,-,0.0,0,0,0,0,0,0,0.57,0.57,0.57,0.57,0.57,-,0.0,0,0,0,0,0,0,0.46,0.46,0.46,0.46,0.46,-,0,0,0,0,0,0,0,0,0,0,0,0,-,1.18,1.18,1.18,1.18,1.18,1.18,2.16,2.16,2.16,0.97,0.97,0.97,-,2024.0
SINTANG,0.0,0,0,0,0,0,0,0,0,0,0,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,-,2024.0
KAB KAYONG UTARA,2.92,2.92,2.92,2.92,2.92,2.92,2.92,3.13,3.13,1.11,0.2,0.2,-,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,0.01,0.01,-,0.0,0,0,0,0,0,0,0.73,0.73,0.73,0.73,0.73,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.08,4.08,4.08,4.08,4.08,4.08,4.08,4.08,4.08,0,0,0,-,2024.0
KOTA PONTIANAK,0.7,1.36,1.36,1.36,1.36,1.36,1.37,0.99,4.14,4.14,4.14,4.14,-,1.08,1.08,1.08,1.08,1.08,1.08,1.14,1.14,5.4,5.4,5.4,5.4,-,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,0,2.47,2.47,2.47,2.47,-,0,0,0,0,0,0,0,0,4.45,4.45,4.45,4.45,-,2.77,6.86,6.86,6.86,6.86,6.86,6.86,3.98,4.26,4.26,4.26,4.26,-,2024.0
KOTA SINGKAWANG,1.36,1.36,1.36,1.36,1.36,1.36,0.02,1.24,1.24,1.24,1.24,1.24,-,0.89,0.89,0.89,0.89,0.89,0.89,0,1.51,1.51,1.51,1.51,1.51,-,3.98,3.98,3.98,3.98,3.98,3.98,0.1,2.73,2.73,2.73,2.73,2.73,-,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,-,2024.0
SAMPIT,1.89,1.89,1.89,1.89,1.89,2.06,0.73,5.37,5.37,5.37,5.37,5.37,-,3.15,3.15,3.15,3.15,3.15,3.72,1.81,4.19,4.19,4.19,4.19,4.19,-,2.5,2.5,2.5,2.5,2.5,2.5,0.53,5.74,5.77,5.77,5.77,5.77,-,0,0,0,0,0,0,0,10.7,10.7,10.7,10.7,10.7,-,0,0,0,0,0,0,0,0,0,0,0,0,-,2024.0
KAB KAPUAS,0.0,0,0,0,0,0,0,0.18,0.18,0.18,0.18,0.18,-,0.0,0,0,0,0,0,0,0.43,0.43,0.43,0.43,0.43,-,0.0,0,0,0,0,0,0,0.17,0.17,0.17,0.17,0.17,-,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2024.0
KAB SUKAMARA,0.0,0,0,0,0,0,0,0,0,0,0,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2024.0
KOTA PALANGKARAYA,3.39,3.14,3.14,3.14,3.14,3.04,3.49,3.17,1.32,1.32,1.32,1.32,-,5.98,5.98,5.98,5.98,5.98,5.65,4.54,2.4,-0.6,-0.6,-0.6,-0.6,-,3.58,3.71,3.71,3.71,3.71,3.71,3.73,3.8,1.24,1.24,1.24,1.24,-,0.11,0.11,0.11,0.11,0.11,0.11,0.11,1.38,1.29,1.29,1.29,1.29,-,3.15,0,0,0,0,0,8.47,8.47,8.47,8.47,8.47,8.47,-,2024.0
KAB TANAH LAUT,0.0,0,0,0,0,0,0,0,0,0,0,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2024.0
KOTABARU,0.0,0,0,0,0,0,0,0,0,0,0,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,-,2024.0
KAB HULU SUNGAI TENGAH,0.0,0,0.4,0.4,0.4,0.4,3.41,3.41,3.41,3.41,3.41,3.41,-,0.0,0,0,0,0,0,6.61,6.61,6.61,6.61,6.61,6.61,-,0.0,0,0,0,0,0,4.2,4.2,4.2,4.2,4.2,4.2,-,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,1.45,1.45,1.45,1.45,3.66,3.66,3.66,3.66,3.66,3.66,-,2024.0
